motif_long_name,motif_id
Smp067420_7mer_logoM201.PWM,364
SNRNP70_7mer_logoM068.PWM,365
SNRPA_7mer_logo0.PWM,366
SNRPA_7mer_logo1.PWM,367
SNRPA_7mer_logoM069.PWM,368
SNRPA_7mer_logoM318.PWM,369
SNRPA_7mer_logoM319.PWM,370
SNRPA_7mer_logoM348.PWM,371
Srp54_7mer_logoM230.PWM,372
SRSF1_7mer_logoM102.PWM,373
SRSF1_7mer_logoM103.PWM,374
SRSF1_7mer_logoM104.PWM,375
SRSF1_7mer_logoM105.PWM,376
SRSF1_7mer_logoM154.PWM,377
SRSF1_7mer_logoM273.PWM,378
SRSF2_7mer_logo0.PWM,379
SRSF2_7mer_logo1.PWM,380
SRSF2_7mer_logo2.PWM,381
SRSF2_7mer_logo3.PWM,382
SRSF4_7mer_logo0.PWM,383
SRSF4_7mer_logo1.PWM,384
SRSF4_7mer_logo2.PWM,385
SRSF5_7mer_logo0.PWM,386
SRSF5_7mer_logo1.PWM,387
SRSF5_7mer_logo2.PWM,388
SRSF5_7mer_logo3.PWM,389
SRSF5_7mer_logo4.PWM,390
SRSF8_7mer_logo0.PWM,391
SRSF8_7mer_logo1.PWM,392
SRSF9_7mer_logo0.PWM,393
SRSF9_7mer_logo1.PWM,394
SRSF9_7mer_logo2.PWM,395
SRSF9_7mer_logoM065.PWM,396
SRSF9_7mer_logoM072.PWM,397
SRSF10_7mer_logo0.PWM,398
SRSF10_7mer_logo1.PWM,399
SRSF11_7mer_logo0.PWM,400
SRSF11_7mer_logo1.PWM,401
STARPAP_7mer_logoM073.PWM,402
sup12_7mer_logoM170.PWM,403
sup26CONSTRUCT_7mer_logoM173.PWM,404
Sxl_7mer_logoM114.PWM,405
TAF15_7mer_logo0.PWM,406
TAF15_7mer_logo1.PWM,407
TAF15_7mer_logo2.PWM,408
TARDBP_7mer_logo0.PWM,409
TARDBP_7mer_logo1.PWM,410
Tbg97234300_7mer_logoM189.PWM,411
Tbg97262300_7mer_logoM190.PWM,412
Tbg97294840_7mer_logoM193.PWM,413
Tbg97295210_7mer_logoM216.PWM,414
Tbg972111000_7mer_logoM214.PWM,415
Tbg9721117950CONS_7mer_logoM215.PWM,416
THAPSDRAFT1841_7mer_logoM196.PWM,417
TIA1_7mer_logo0.PWM,418
TIA1_7mer_logo2.PWM,419
TIA1_7mer_logoM075.PWM,420
TIA1_7mer_logoM156.PWM,421
tiar1_7mer_logoM219.PWM,422
tiar3_7mer_logoM005.PWM,423
tra2_7mer_logoM076.PWM,424
TRA2A_7mer_logo0.PWM,425
TRA2A_7mer_logo1.PWM,426
TRNAU1AP_7mer_logo0.PWM,427
TRNAU1AP_7mer_logo1.PWM,428
TRNAU1AP_7mer_logo2.PWM,429
TVAG002940_7mer_logoM220.PWM,430
TVAG129710_7mer_logoM221.PWM,431
TVAG267990_7mer_logoM222.PWM,432
TVAG514790_7mer_logoM204.PWM,433
